team,COY
2025 Cleveland Cavaliers,1
2024 Oklahoma City Thunder,1
2023 Sacramento Kings,1
2022 Phoenix Suns,1
2021 New York Knicks,1
2020 Toronto Raptors,1
2019 Milwaukee Bucks,1
2018 Toronto Raptors,1
2017 Houston Rockets,1
2016 Golden State Warriors,1
2015 Atlanta Hawks,1
2014 San Antonio Spurs,1
2013 Denver Nuggets,1
2012 San Antonio Spurs,1
2011 Chicago Bulls,1
2010 Oklahoma City Thunder,1
2009 Cleveland Cavaliers,1
2008 New Orleans Hornets,1
2007 Toronto Raptors,1
2006 Dallas Mavericks,1
2005 Phoenix Suns,1
2004 Memphis Grizzlies,1
2003 San Antonio Spurs,1
2002 Detroit Pistons,1
2001 Philadelphia 76ers,1
2000 Orlando Magic,1
1999 Portland Trail Blazers,1
1998 Indiana Pacers,1
1997 Miami Heat,1
1996 Chicago Bulls,1
1995 Los Angeles Lakers,1
1994 Atlanta Hawks,1
1993 New York Knicks,1
1992 Golden State Warriors,1
1991 Houston Rockets,1
1990 Los Angeles Lakers,1
1989 Phoenix Suns,1
1988 Denver Nuggets,1
1987 Portland Trail Blazers,1
1986 Atlanta Hawks,1
1985 Milwaukee Bucks,1
1984 Utah Jazz,1
