team,MP,FGA,FG%,3PA,3P%,2PA,2P%,FTA,FT%,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,Age,W,L,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,Offense_eFG%,Offense_TOV%,Offense_ORB%,Offense_FT/FGA,Defense_eFG%,Defense_TOV%,Defense_ORB%,Defense_FT/FGA,MVP,DPOY,sixth,COY,rounds
1984 Denver Nuggets,241.5,97.4,0.493,3.1,0.302,94.2,0.499,32.8,0.818,13.8,29.8,30.3,8.7,4.3,16.4,27.8,123.7,27.0,38.0,44.0,-1.1,-0.17,-1.27,111.3,112.3,-1.0,110.5,0.337,0.032,0.553,0.498,12.8,29.3,0.276,0.522,14.6,66.6,0.277,0,0,0,0,0
1984 San Antonio Spurs,243.7,94.2,0.506,3.2,0.3,91.0,0.514,31.8,0.755,15.0,30.8,28.8,8.4,6.0,17.6,26.2,120.3,27.4,37.0,45.0,-0.27,-0.23,-0.5,111.2,111.4,-0.2,106.5,0.337,0.034,0.556,0.511,14.0,33.4,0.255,0.508,13.7,66.2,0.233,0,0,0,0,-1
1984 Detroit Pistons,242.7,96.5,0.48,1.7,0.227,94.7,0.485,31.1,0.775,17.4,29.7,27.5,8.5,5.1,16.0,26.5,117.1,25.4,49.0,33.0,3.59,-0.06,3.52,111.5,108.1,3.4,103.8,0.322,0.018,0.532,0.482,12.7,36.7,0.25,0.5,14.8,67.7,0.263,0,0,0,0,0
1984 Los Angeles Lakers,241.2,88.4,0.532,2.8,0.257,85.7,0.54,27.7,0.754,13.4,30.5,29.9,8.9,5.8,19.2,25.0,115.6,27.5,54.0,28.0,3.76,-0.44,3.32,110.9,107.3,3.6,103.7,0.313,0.031,0.574,0.536,16.1,33.7,0.236,0.487,14.3,66.6,0.232,0,0,0,0,3
1984 Utah Jazz,241.2,88.3,0.498,3.9,0.319,84.5,0.506,33.0,0.781,13.4,30.8,27.2,8.5,7.4,18.4,24.1,115.0,26.9,45.0,37.0,1.13,-0.32,0.81,109.0,108.0,1.0,104.9,0.374,0.044,0.559,0.505,15.2,30.8,0.292,0.479,13.9,63.4,0.229,0,0,0,1,1
1984 Portland Trail Blazers,241.5,87.7,0.505,1.6,0.194,86.1,0.511,32.2,0.754,15.3,26.8,25.4,9.9,4.8,18.1,26.0,113.1,25.8,48.0,34.0,3.55,-0.42,3.13,111.2,107.7,3.5,101.1,0.367,0.018,0.556,0.507,15.1,36.4,0.277,0.518,17.0,67.4,0.259,0,0,0,0,0
1984 Boston Celtics,243.4,88.2,0.5,2.8,0.24,85.4,0.508,29.4,0.792,14.1,31.0,25.9,8.2,5.2,17.3,23.8,112.1,28.0,62.0,20.0,6.56,-0.14,6.42,110.9,104.4,6.5,99.7,0.333,0.032,0.554,0.504,14.6,34.2,0.264,0.475,13.8,69.7,0.225,1,0,1,0,4
1984 Phoenix Suns,241.2,88.0,0.509,3.5,0.254,84.5,0.52,26.9,0.759,13.0,28.0,27.0,8.5,4.7,17.7,26.2,111.0,27.2,41.0,41.0,0.89,-0.24,0.65,108.9,108.0,0.9,101.4,0.305,0.04,0.556,0.514,15.1,31.4,0.232,0.501,15.3,68.3,0.277,0,0,0,0,2
1984 San Diego Clippers,240.6,89.3,0.496,1.6,0.188,87.8,0.502,29.6,0.736,15.9,29.0,24.2,6.9,4.7,18.5,24.6,110.7,25.5,30.0,52.0,-3.26,0.04,-3.21,109.2,112.4,-3.2,101.1,0.331,0.017,0.541,0.498,15.3,37.7,0.244,0.513,12.9,68.2,0.236,0,0,0,0,-1
1984 Houston Rockets,240.9,91.9,0.495,1.9,0.195,90.0,0.501,26.1,0.74,14.6,30.3,26.9,7.6,6.3,19.0,28.3,110.6,26.8,29.0,53.0,-3.09,-0.04,-3.12,105.3,108.2,-2.9,104.7,0.284,0.02,0.535,0.497,15.6,32.8,0.21,0.486,14.1,67.5,0.285,0,0,0,0,-1
