team,rounds
2025 Oklahoma City Thunder,4
2024 Boston Celtics,4
2023 Denver Nuggets,4
2022 Golden State Warriors,4
2021 Milwaukee Bucks,4
2020 Los Angeles Lakers,4
2019 Toronto Raptors,4
2018 Golden State Warriors,4
2017 Golden State Warriors,4
2016 Cleveland Cavaliers,4
2015 Golden State Warriors,4
2014 San Antonio Spurs,4
2013 Miami Heat,4
2012 Miami Heat,4
2011 Dallas Mavericks,4
2010 Los Angeles Lakers,4
2009 Los Angeles Lakers,4
2008 Boston Celtics,4
2007 San Antonio Spurs,4
2006 Miami Heat,4
2005 San Antonio Spurs,4
2004 Detroit Pistons,4
2003 San Antonio Spurs,4
2002 Los Angeles Lakers,4
2001 Los Angeles Lakers,4
2000 Los Angeles Lakers,4
1999 San Antonio Spurs,4
1998 Chicago Bulls,4
1997 Chicago Bulls,4
1996 Chicago Bulls,4
1995 Houston Rockets,4
1994 Houston Rockets,4
1993 Chicago Bulls,4
1992 Chicago Bulls,4
1991 Chicago Bulls,4
1990 Detroit Pistons,4
1989 Detroit Pistons,4
1988 Los Angeles Lakers,4
1987 Los Angeles Lakers,4
1986 Boston Celtics,4
1985 Los Angeles Lakers,4
1984 Boston Celtics,4
2025 Indiana Pacers,3
2024 Dallas Mavericks,3
2023 Miami Heat,3
2022 Boston Celtics,3
2021 Phoenix Suns,3
2020 Miami Heat,3
2019 Golden State Warriors,3
2018 Cleveland Cavaliers,3
2017 Cleveland Cavaliers,3
2016 Golden State Warriors,3
2015 Cleveland Cavaliers,3
2014 Miami Heat,3
2013 San Antonio Spurs,3
2012 Oklahoma City Thunder,3
2011 Miami Heat,3
2010 Boston Celtics,3
2009 Orlando Magic,3
2008 Los Angeles Lakers,3
2007 Cleveland Cavaliers,3
2006 Dallas Mavericks,3
2005 Detroit Pistons,3
2004 Los Angeles Lakers,3
2003 New Jersey Nets,3
2002 New Jersey Nets,3
2001 Philadelphia 76ers,3
2000 Indiana Pacers,3
1999 New York Knicks,3
1998 Utah Jazz,3
1997 Utah Jazz,3
1996 Seattle SuperSonics,3
1995 Orlando Magic,3
1994 New York Knicks,3
1993 Phoenix Suns,3
1992 Portland Trail Blazers,3
1991 Los Angeles Lakers,3
1990 Portland Trail Blazers,3
1989 Los Angeles Lakers,3
1988 Detroit Pistons,3
1987 Boston Celtics,3
1986 Houston Rockets,3
1985 Boston Celtics,3
1984 Los Angeles Lakers,3
2025 New York Knicks,2
2024 Indiana Pacers,2
2023 Boston Celtics,2
2022 Miami Heat,2
2021 Atlanta Hawks,2
2020 Boston Celtics,2
2019 Milwaukee Bucks,2
2018 Boston Celtics,2
2017 Boston Celtics,2
2016 Toronto Raptors,2
2015 Atlanta Hawks,2
2014 Indiana Pacers,2
2013 Indiana Pacers,2
2012 Boston Celtics,2
2011 Chicago Bulls,2
2010 Orlando Magic,2
2009 Cleveland Cavaliers,2
2008 Detroit Pistons,2
2007 Detroit Pistons,2
2006 Detroit Pistons,2
2005 Miami Heat,2
2004 Indiana Pacers,2
2003 Detroit Pistons,2
2002 Boston Celtics,2
2001 Milwaukee Bucks,2
2000 New York Knicks,2
1999 Indiana Pacers,2
1998 Indiana Pacers,2
1997 Miami Heat,2
1996 Orlando Magic,2
1995 Indiana Pacers,2
1994 Indiana Pacers,2
1993 New York Knicks,2
1992 Cleveland Cavaliers,2
1991 Detroit Pistons,2
1990 Chicago Bulls,2
1989 Chicago Bulls,2
1988 Boston Celtics,2
1987 Detroit Pistons,2
1986 Milwaukee Bucks,2
1985 Philadelphia 76ers,2
1984 Milwaukee Bucks,2
2025 Minnesota Timberwolves,2
2024 Minnesota Timberwolves,2
2023 Los Angeles Lakers,2
2022 Dallas Mavericks,2
2021 Los Angeles Clippers,2
2020 Denver Nuggets,2
2019 Portland Trail Blazers,2
2018 Houston Rockets,2
2017 San Antonio Spurs,2
2016 Oklahoma City Thunder,2
2015 Houston Rockets,2
2014 Oklahoma City Thunder,2
2013 Memphis Grizzlies,2
2012 San Antonio Spurs,2
2011 Oklahoma City Thunder,2
2010 Phoenix Suns,2
2009 Denver Nuggets,2
2008 San Antonio Spurs,2
2007 Utah Jazz,2
2006 Phoenix Suns,2
2005 Phoenix Suns,2
2004 Minnesota Timberwolves,2
2003 Dallas Mavericks,2
2002 Sacramento Kings,2
2001 San Antonio Spurs,2
2000 Portland Trail Blazers,2
1999 Portland Trail Blazers,2
1998 Los Angeles Lakers,2
1997 Houston Rockets,2
1996 Utah Jazz,2
1995 San Antonio Spurs,2
