team,sixth
2025 Boston Celtics,1
2024 Minnesota Timberwolves,1
2023 Boston Celtics,1
2022 Miami Heat,1
2021 Utah Jazz,1
2020 LA Clippers,1
2019 LA Clippers,1
2018 LA Clippers,1
2017 Houston Rockets,1
2016 LA Clippers,1
2015 Toronto Raptors,1
2014 LA Clippers,1
2013 New York Knicks,1
2012 Oklahoma City Thunder,1
2011 Los Angeles Lakers,1
2010 Atlanta Hawks,1
2009 Dallas Mavericks,1
2008 San Antonio Spurs,1
2007 Phoenix Suns,1
2006 Memphis Grizzlies,1
2005 Chicago Bulls,1
2004 Dallas Mavericks,1
2003 Sacramento Kings,1
2002 Detroit Pistons,1
2001 Philadelphia 76ers,1
2000 Phoenix Suns,1
1999 Orlando Magic,1
1998 Phoenix Suns,1
1997 New York Knicks,1
1996 Chicago Bulls,1
1995 New York Knicks,1
1994 Charlotte Hornets,1
1993 Portland Trail Blazers,1
1992 Indiana Pacers,1
1991 Indiana Pacers,1
1990 Milwaukee Bucks,1
1989 Phoenix Suns,1
1988 Dallas Mavericks,1
1987 Milwaukee Bucks,1
1986 Boston Celtics,1
1985 Boston Celtics,1
1984 Boston Celtics,1
